X,Y,OBJECTID,fcode,descripci,Nam,DIRECCION,TIPO,icon_url
-79.1305831976528,-0.045622428315489,"1",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Miguel de Cervantes,RCTO. LA MARIANITA VIA QUININDE KM. 24+16+7,ESCUELA,./0.png
-79.207083086493,-0.081030746181314,"2",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Mariano Suarez Veintimilla,RCTO. EL CRISTA KM. 24+2+6+2,ESCUELA,./0.png
-79.1782992683427,-0.049011489638424,"3",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Alfonso Moscoso,COOP. CRISTÓBAL COLON-QUININDE KM. 4+16,ESCUELA/JARDIN,./0.png
-79.1760384952477,-0.082248868841308,"4",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Carlos Bolívar Sevilla,RCTO. AUTENTICOS CAMPESINOS,ESCUELA,./0.png
-79.3094110920901,-0.640236187132512,"5",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",8 de Noviembre,,ESCUELA,./0.png
-79.2017875671152,-0.065879925055437,"6",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Julío Zaldumbide,RCTO. EL DESCANSO VIA QUININDE KM. 24+2,ESCUELA,./0.png
-79.2047890606771,-0.091316483513404,"7",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Huancavilca,RCTO.CUATRO DE FEBRERO VIA QUININDE KM. 24,ESCUELA,./0.png
-79.2816049736037,-0.084951985078825,"8",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Vicente Rocafuerte,COMUNA VALLE HEMOSO VIA QUININDE KM. 24+2,ESCUELA/JARDIN,./0.png
-79.3180928418096,-0.088607131063399,"9",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Pierre Hitti,HDA. LA TARRAGONA VIA QUININDE KM. 29,ESCUELA,./0.png
-79.2506783786927,-0.071729621324448,"10",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Dolores Sucre,RCTO. VALLE HERMOSO-LA DOLOROSA-QUININDE,ESCUELA,./0.png
-79.3021546376896,-0.135143295930859,"11",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Roberth Kennedy,RCTO. LA ASUNCIÓN VIA QUININDE KM. 24+4,ESCUELA/JARDIN,./0.png
-79.2786100801592,-0.10776550084288,"12",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Coronel Juan Manuel Lasso,LA PRIMAVERA VIA QUININDE KM. 24,ESCUELA/JARDIN,./0.png
-79.2084439695219,-0.038058516945436,"13",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Rodrigo de Triana,RCTO. BELLA ESPERANZA-QUININDE KM. 24+11,ESCUELA,./0.png
-79.1376821251731,-0.031927060656204,"14",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Manuel de Aascazubi,RCTO. SAN VICENTE VIA QUININDE KM.24+21,ESCUELA,./0.png
-79.2574309638843,-0.117686921398347,"15",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Cesar Silva,RCTO. PAMBILANDIA VIA QUININDE KM. 21,ESCUELA/JARDIN,./0.png
-79.2665129585592,-0.041261430233854,"16",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Cesar Borja Lavayen,COOP. RÍO DE ORO-CHIGUILPE-QUININDE KM. 26,ESCUELA,./0.png
